title,text
The Colleen Bawn (1911 American film),The Colleen Bawn is a silent 1911 American romantic drama film based on the 1860 play of the same name.  A secret marriage leads to murder.  It and the play are based on the actual 1819 murder of 15-year-old Ellen Scanlan.
Howards End (film),"Howards End is a 1992 British romantic drama film based upon the novel of the same name by E. M. Forster (published in 1910), a story of class relations in turn-of-the-20th-century England.  The film—produced by Merchant Ivory Productions as their third adaptation of a Forster novel (following ""A Room with a View"" in 1985 and ""Maurice"" in 1987)—was the first film to be released by Sony Pictures Classics.  The screenplay was written by Ruth Prawer Jhabvala, directed by James Ivory and produced by Ismail Merchant."
The Bridges of Madison County (film),"The Bridges of Madison County is a 1995 American romantic drama film based on the best-selling novel of the same name by Robert James Waller.  It was produced by Amblin Entertainment and Malpaso Productions, and distributed by Warner Bros.  Entertainment.  The film was produced and directed by Clint Eastwood with Kathleen Kennedy as co-producer and the screenplay was adapted by Richard LaGravenese.  The film is about an Italian war bride, Francesca (Meryl Streep), who lives with her husband and two children on a farm in Iowa.  In 1965, she meets a ""National Geographic"" photographer named Robert (Eastwood) and has a four-day extramarital affair with him that changes both their lives forever.  The film earned $182 million worldwide and was well received by critics.  Streep received an Academy Award for Best Actress nomination in 1996 for her performance in the film."
Bride and Prejudice,"Bride and Prejudice is a 2004 romantic drama film directed by Gurinder Chadha.  The screenplay by Chadha and Paul Mayeda Berges is a Bollywood-style adaptation of ""Pride and Prejudice"" by Jane Austen.  It was filmed primarily in English, with some Hindi and Punjabi dialogue.  The film released in the United States on 11 February 2005 and was well received by critics."
Ae Fond Kiss...,"Ae Fond Kiss… (also known as ""Just a Kiss"" in some countries) is a 2004 romantic drama film directed by Ken Loach, and starring Atta Yaqub and Eva Birthistle.  The title is taken from a Scottish song by Robert Burns, the complete line being """"Ae Fond Kiss, and then we sever..."""""
Milan (2004 film),"Milan is a 2004 romantic drama film released under Star Cinema, ABS-CBN Film Productions, Inc. in the Philippines.  It stars Claudine Barretto and Piolo Pascual.  It is a love story written by Raymond Lee, and under Olivia Lamasan's direction.  The movie made more than P100 million in the box office."
Aron Ralston,"Aron Lee Ralston (born October 27, 1975) is an American outdoorsman, mechanical engineer and motivational speaker known for having survived a canyoneering accident in southeastern Utah in 2003 during which he amputated his own right forearm with a dull pocketknife in order to extricate himself from a dislodged boulder, which had him trapped in Blue John Canyon for five days and seven hours (127 hours).  After he freed himself, he had to make his way through the remainder of the canyon, then rappel down a 65 feet sheer cliff face in order to reach safety."
Factories Act 1847,"The Factory Act of 1847, also known as the Ten Hours Act was a United Kingdom Act of Parliament which restricted the working hours of women and young persons (13-18) in textile mills to 10 hours per day.  The practicalities of running a textile mill were such that the Act should have effectively set the same limit on the working hours of adult male mill-workers, but defective drafting meant that a subsequent Factory Act in 1850 imposing tighter restrictions on the hours within which women and young persons could work was needed to bring this about.  With this slight qualification, the Act of 1847 was the culmination of a campaign lasting almost fifteen years to bring in a 'Ten Hours Bill'; a great Radical cause of the period .  Richard Oastler was a prominent and early advocate; the most famous Parliamentarian involved was Lord Ashley who campaigned long and tirelessly on the issue (although he was not an MP in the session when the Act was passed), but the eventual success owed much to the mobilisation of support among the mill-workers by organisers such as John Doherty and sympathetic mill-owners such as John Fielden, MP who piloted the Act through the Commons.  The 1847 Act was passed soon after the fall from power of Sir Robert Peel's Conservative government, but the fiercest opponents of all ten-hour bills were the 'free trade' Liberals such as John Bright; the economic doctrines that led them to object to artificial tariff barriers also led them to object to government restricting the terms on which a man might sell his labour, and to extend that objection to women and young persons."
127 Hours,"127 Hours is a 2010 biographical survival found footage drama film directed, co-written, and produced by Danny Boyle.  The film stars James Franco as Aron Ralston, a canyoneer who becomes trapped by a boulder in an isolated slot canyon in Blue John Canyon, southeastern Utah, in April 2003.  It is a British and American venture produced by Everest Entertainment, Film4 Productions, HandMade Films and Cloud Eight Films."
Danny Boyle,"Danny Boyle (born 20 October 1956) is an English director, producer, screenwriter and theatre director, known for his work on films including ""Shallow Grave"", ""Trainspotting"", ""The Beach"", ""28 Days Later"", ""Sunshine"", ""Slumdog Millionaire"", ""127 Hours"", and ""Steve Jobs"".  His debut film ""Shallow Grave"" won the BAFTA Award for Best British Film.  Boyle's 2008 film ""Slumdog Millionaire"" was nominated for ten Academy Awards and won eight, including the Academy Award for Best Director.  He also won the Golden Globe and BAFTA Award for Best Director.  Boyle was presented with the Extraordinary Contribution to Filmmaking Award at the 2008 Austin Film Festival, where he also introduced that year's AFF Audience Award Winner ""Slumdog Millionaire""."
List of accolades received by 127 Hours,"""127 Hours"" is a 2010 British independent biographical adventure film directed by Danny Boyle.  It stars James Franco in the principal role as real-life mountain climber Aron Ralston, whose hand was trapped under a boulder in a Utah ravine for more than five days in April 2003.  Adapted from Ralston's autobiography ""Between a Rock and a Hard Place"", ""127 Hours""' s screenplay was written by Boyle and Simon Beaufoy.  Distributors Fox Searchlight and Pathé gave the feature limited releases in the United States and United Kingdom on 5 November 2010 and 7 January 2011, respectively.  It grossed £35.8 million at the box office by the end of its worldwide theatrical run.  Rotten Tomatoes, a review aggregator surveyed 215 reviews and judged 93% to be positive."
Treehouse of Horror XXII,"""Treehouse of Horror XXII"" is the third episode of the twenty-third season and the twenty-second Halloween episode of the American animated sitcom ""The Simpsons"".  It originally aired on the Fox network in the United States on October 30, 2011.  The episode is part of the ""Treehouse of Horror"" series, which is an episode divided into three separate stories and an opening that is a parody of scary or Halloween themed stories.  This episode's stories were primarily spoofs of the French film ""The Diving Bell and the Butterfly"", the television series ""Dexter"", and the American film ""Avatar"".  The opening was a parody of the autobiographical film ""127 Hours"", in which the subject Aron Ralston loses an arm."
James Franco,"James Edward Franco (born April 19, 1978) is an American actor, director, screenwriter, and producer.  For his role in ""127 Hours"" (2010), Franco was nominated for an Academy Award for Best Actor.  He is known for his roles in live-action films such as ""Milk"" (2008), ""Pineapple Express"" (2008), ""Rise of the Planet of the Apes"" (2011), ""Spring Breakers"" (2012), ""Oz the Great and Powerful"" (2013), ""This Is the End"" (2013), "" The Disaster Artist"" (2017), and Sam Raimi's ""Spider-Man"" trilogy, while also voicing characters in the animated films ""The Little Prince"" (2015) and ""Sausage Party"" (2016)."
