id,title,text
9193,Brian Kennedy (gallery director),"Brian Patrick Kennedy( born 5 November 1961) is an Irish- born art museum director who has worked in Ireland and Australia, and now lives and works in the United States. He is currently the director of the Peabody Essex Museum. He was the director of the Toledo Museum of Art in Ohio from 2010 to 2019. He was the director of the Hood Museum of Art from 2005 to 2010, and the National Gallery of Australia( Canberra) from 1997- 2004."
9194,Zai Bennett,Zai Bennett( born 1974) is a television executive. He is the director of Sky Atlantic and former controller of BBC Three.
9195,Jesse E. Hobson,"Jesse Edward Hobson( May 2, 1911 – November 5, 1970) was the director of SRI International from 1947 to 1955. Prior to SRI, he was the director of the Armour Research Foundation."
9196,Ian Barry (director),Ian Barry is an Australian director of film and TV.
9197,Peter Levin,"Peter Levin is an American director of film, television and theatre."
9198,Olav Aaraas,"Olav Aaraas( born 10 July 1950) is a Norwegian historian and museum director. He was born in Fredrikstad. From 1982 to 1993 he was the director of Sogn Folk Museum, from 1993 to 2010 he was the director of Maihaugen and from 2001 he has been the director of the Norwegian Museum of Cultural History. In 2010 he was decorated with the Royal Norwegian Order of St. Olav."
9199,A Piece of Sky (2002 film),A Piece of Sky is a 2002 French- Belgian drama film directed by Bénédicte Liénard. It was screened in the Un Certain Regard section at the 2002 Cannes Film Festival.
9200,Adam Boulton,"Thomas Adam Babington Boulton( born 15 February 1959) is a British journalist and broadcaster who is currently the Editor- at- large of Sky News, and presenter of"" All Out Politics& Week In Review"". He is also the former political editor of Sky News. He is based at Sky News' Westminster studios in Central London. He was previously the political editor of TV -am, an ITV early- morning broadcasting franchise holder. He held the post of Sky's Political Editor since being asked to establish its politics team for the launch of the channel in 1989. He is the former presenter of Sky News'"" Sunday Live with Adam Boulton"", and presented a regular weekday news and political programme on Sky News, entitled"" Boulton and Co"" from 2011 to 2014."
9201,Guy Roger Nzamba,"Guy Roger Nzamba( born 13 July 1970) is a former Gabonese footballer, who played as a forward. He also represented the Gabon national football team. Nzamba made his debut in the Football League for Southend United on 20 September 1997, at home to Fulham in the 1–0 victory. He came on as a substitute in the 40th minute for Paul Williams before being substituted himself in the 65th minute for Carl Beeston. He also represented the Gabon national football team on a number of occasions."
9202,Guy E. L. de Weever,"Guy Egbert Leon de Weever or Guy E. L. de Weever, was a teacher, journalist and historian, best known for writing"" The Children's Story of Guyana"", a staple geographical and historical text, used for 44 years( 1932 – 1974) in Guyanese primary schools. The book was reprinted almost every year until the mid 1970s, with one revision in 1949( by Edna de Weever)."
9203,Luka Nižetić,"Luka Nižetić( born 12 August 1983) is a Croatian singer. His debut album"" Premijera"" was recorded in 2006. He is best known for his hits"" Ponekad poželim""( Sometimes I wish) and"" Proljeće""( Springtime)."
9204,Guy-Roger Nzeng,Guy-Roger Nzeng( born 30 May 1970) is a retired footballer from Gabon. Nzeng was a member of the Gabon squad for the 1996 and 2000 Africa Cup of Nations.
9205,Guy Toindouba,"Guy Roger Toindouba( born April 14, 1988 in Garoua) is a Cameroonian football midfielder who plays. He also holds Gabonese citizenship."
9206,Guido of Arezzo,"Guido of Arezzo( also Guido Aretinus, Guido Aretino, Guido da Arezzo, Guido Monaco, Guido d' Arezzo, Guido Monaco Pomposiano, or Guy of Arezzo also Guy d' Arezzo)( 991/992 – after 1033) was an Italian music theorist of the Medieval era. He is regarded as the inventor of modern musical notation( staff notation) that replaced neumatic notation. His text, the"" Micrologus"", was the second most widely distributed treatise on music in the Middle Ages( after the writings of Boethius)."
9207,Lana Jurčević,"Lana Jurčević( born November 7, 1984) is a Croatian singer- songwriter born in Zagreb, Croatia. Her self- titled debut album was released in 2003, with all of the songs on the album written by Milana Vlaović. In her young career she has already worked with Milana Vlaović, Nikša Bratoš, Ante Pecotić, Muc Softić, Luka Nižetić and Severina, with whom she sang a duet called"" Rodjena da budem prva"". Along with her musical career, she is also student of journalism in Zagreb, where she resides today."
9208,"Guy of Lusignan, Count of Angoulême","Guy of Lusignan, Guy of La Marche or Guy of Angoulême or Guy I& I& I de Lusignan( c. 1260/ 1265 – Angoulême, 24 September/ 28 November 1308 and buried there), Seigneur de Couhé et de Peyrat c. 1282, succeeded his brother Hugh XIII as Seigneur de Lusignan, Count of La Marche and Count of Angoulême on 1 November 1303. He died unmarried and childless, ending the senior male line of the House of Lusignan( a junior male line through Guy's great- uncle, William de Valence, continued until the death of that man's son, Aymer, in 1324). In spite of this junior male line, Guy was succeeded by his sister Yolande I& I& I de Lusignan, except in Angoulême, since after his death it was sold to the French Crown by his sisters Jeanne and Isabelle."
9209,Guido de Monte Rochen,"Guido de Monte Rochen or Guy de Montrocher was a Spanish priest and jurist who was active around 1331. He is best known as the author of"" Manipulus curatorum""( the"" manual of the curate""), a handbook for parish priests, that was often copied, with some 180 complete or partial manuscripts surviving, and later reprinted throughout Europe in the next 200 years, with at least 119 printings, and sales which have been estimated to be three times those of Thomas Aquinas'"" Summa Theologica"". It became obsolete only when the Council of Trent created the Roman Catechism in 1566. There were five more English printings of this book before 1520, including three editions by Wynkyn de Worde( 1502, 1509, and 1517)."
9210,Guy Henri,"Guy Henri( also spelled"" Guy- Henry"" or"" Guy Henry"", 6 January 1922 – 9 July 2002) was a French actor, notable for roles in films including the uncredited appearance in"" Légère et court vêtue"". He was active from 1940 to 1970."
9211,Triam Udom Suksa Pattanakarn School,"Triam Udom Suksa Pattanakarn School( commonly abbreviated as Triampat, is a high school located in Bangkok, Thailand. It admits lower- secondary and upper-secondary students("" mathayom"" 1 – 6, equivalent to grades 7–12). Founded in 1978 as a campus school of Triam Udom Suksa School, Bangkok, Thailand which is preparatory school for Chulalongkorn University. Triam Udom Suksa Pattanakarn School has among the top 3 highest university entry rates for Thai high- schools, and its students consistently score among the top in national standardized tests."
9212,Triam Udom Suksa Pattanakarn School,"Triam Udom Suksa Pattanakarn School( commonly abbreviated as Triampat, is a high school located in Bangkok, Thailand. It admits lower- secondary and upper-secondary students("" mathayom"" 1 – 6, equivalent to grades 7–12). Founded in 1978 as a campus school of Triam Udom Suksa School, Bangkok, Thailand which is preparatory school for Chulalongkorn University. Triam Udom Suksa Pattanakarn School has among the top 3 highest university entry rates for Thai high- schools, and its students consistently score among the top in national standardized tests."
9213,Assumption Suksa School,"Assumption Suksa School( AS) is the first school affiliated with the Roman Catholic Archdiocese of Bangkok. It is a private school for girls located in Bangkok, Thailand. Assumption Suksa School was founded by Pastor Leo Perudong. This school provides general education for students from kindergarten 1 to grade 12 including kindergarten, primary school, secondary school, and high school education."
9214,Carlisle School District,Carlisle School District may refer to:
9215,Assumption Suksa School,"Assumption Suksa School( AS) is the first school affiliated with the Roman Catholic Archdiocese of Bangkok. It is a private school for girls located in Bangkok, Thailand. Assumption Suksa School was founded by Pastor Leo Perudong. This school provides general education for students from kindergarten 1 to grade 12 including kindergarten, primary school, secondary school, and high school education."
9216,Srithammarat Suksa School,"Srithammarat Suksa School is a private Christian school in Nakhon Si Thammarat, southern Thailand."
